#ring	#detector	#layer	x	y	z
0	0	0	15.65	70.5	-16.75
0	1	0	13.45	70.5	-16.75
0	2	0	11.25	70.5	-16.75
0	3	0	9.05	70.5	-16.75
0	4	0	6.85	70.5	-16.75
0	5	0	4.65	70.5	-16.75
0	6	0	2.45	70.5	-16.75
0	7	0	-0.25	70.5	-16.75
0	8	0	-2.45	70.5	-16.75
0	9	0	-4.65	70.5	-16.75
0	10	0	-6.85	70.5	-16.75
0	11	0	-9.05	70.5	-16.75
0	12	0	-11.25	70.5	-16.75
0	13	0	-13.45	70.5	-16.75
0	14	0	-15.65	70.5	-16.75
0	15	0	-21.6967	68.8798	-16.75
0	16	0	-23.602	67.7798	-16.75
0	17	0	-25.5072	66.6798	-16.75
0	18	0	-27.4125	65.5798	-16.75
0	19	0	-29.3177	64.4798	-16.75
0	20	0	-31.223	63.3798	-16.75
0	21	0	-33.1282	62.2798	-16.75
0	22	0	-35.4665	60.9298	-16.75
0	23	0	-37.3718	59.8298	-16.75
0	24	0	-39.277	58.7298	-16.75
0	25	0	-41.1823	57.6298	-16.75
0	26	0	-43.0875	56.5298	-16.75
0	27	0	-44.9928	55.4298	-16.75
0	28	0	-46.898	54.3298	-16.75
0	29	0	-48.8033	53.2298	-16.75
0	30	0	-53.2298	48.8033	-16.75
0	31	0	-54.3298	46.898	-16.75
0	32	0	-55.4298	44.9928	-16.75
0	33	0	-56.5298	43.0875	-16.75
0	34	0	-57.6298	41.1823	-16.75
0	35	0	-58.7298	39.277	-16.75
0	36	0	-59.8298	37.3718	-16.75
0	37	0	-61.1798	35.0335	-16.75
0	38	0	-62.2798	33.1282	-16.75
0	39	0	-63.3798	31.223	-16.75
0	40	0	-64.4798	29.3177	-16.75
0	41	0	-65.5798	27.4125	-16.75
0	42	0	-66.6798	25.5072	-16.75
0	43	0	-67.7798	23.602	-16.75
0	44	0	-68.8798	21.6967	-16.75
0	45	0	-70.5	15.65	-16.75
0	46	0	-70.5	13.45	-16.75
0	47	0	-70.5	11.25	-16.75
0	48	0	-70.5	9.05	-16.75
0	49	0	-70.5	6.85	-16.75
0	50	0	-70.5	4.65	-16.75
